name,goals_per90,assists_per90,goals_assists_pens_per90
Ander Guevara,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Nacho Monreal,"0.00,0.07,0.00","0.00,0.00,0.00","0.00,0.07,0.00"
Aihen Muñoz,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Dani Calvo,"0.05,0.03,0.00","0.00,0.03,0.00","0.05,0.05,0.00"
Pere Milla,"0.00,0.33,0.00","0.00,0.05,0.00","0.00,0.37,0.00"
Raúl Guti,"0.09,0.14,0.00","0.09,0.11,0.00","0.19,0.24,0.00"
Gonzalo Verdú,"0.05,0.09,0.00","0.05,0.06,0.00","0.11,0.15,0.00"
Lucas Boyé,"0.42,0.19,0.51","0.07,0.10,0.00","0.49,0.29,0.51"
Omenuke Mfulu,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Tete Morente,"0.17,0.00,0.00","0.25,0.00,0.00","0.41,0.00,0.00"
David Silva,"0.24,0.21,0.00","0.27,0.38,0.00","0.51,0.59,0.00"
Josan,"0.12,0.04,0.00","0.12,0.33,0.00","0.25,0.37,0.00"
Josema,"[None, '0.00', '0.00']","[None, '0.00', '0.00']","[None, '0.00', '0.00']"
Fidel,"0.14,0.35,0.00","0.14,0.24,0.00","0.29,0.38,0.00"
Marko Dmitrović,,,
Luis Rioja,"0.15,0.00,0.00","0.06,0.00,0.00","0.21,0.00,0.00"
Ximo Navarro,"0.07,0.00,0.00","0.07,0.00,0.00","0.14,0.00,0.00"
Deyverson,"0.29,0.27,0.00","0.08,0.27,0.30","0.37,0.55,0.30"
Florian Lejeune,"0.00,0.29,0.00","0.00,0.00,0.00","0.00,0.29,0.00"
Édgar Méndez,"0.00,0.10,0.21","0.00,0.00,0.00","0.00,0.10,0.21"
Rubén Duarte,"0.00,0.00,0.00","0.00,0.03,0.00","0.00,0.03,0.00"
Víctor Laguardia,"0.03,0.03,0.00","0.06,0.07,0.00","0.08,0.10,0.00"
Rodrigo Battaglia,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Pere Pons,"0.03,0.08,0.00","0.06,0.08,0.00","0.09,0.17,0.00"
Ramiro Funes Mori,"0.05,0.12,0.00","0.03,0.00,0.00","0.08,0.12,0.00"
Joselu,"0.28,0.36,0.25","0.09,0.06,0.00","0.37,0.39,0.25"
Jaume Costa,"0.04,0.00,0.00","0.04,0.05,0.00","0.08,0.05,0.00"
Carlos Bacca,"0.52,0.22,0.00","0.09,0.11,0.00","0.52,0.32,0.00"
Takefusa Kubo,"0.35,0.15,0.00","0.26,0.15,0.00","0.62,0.30,0.00"
Rubén Peña,"0.03,0.08,0.00","0.07,0.08,0.00","0.10,0.17,0.00"
Alfonso Pedraza,"0.13,0.07,0.00","0.13,0.00,0.00","0.25,0.07,0.00"
Andrés Fernández,,,
Óscar Duarte,"0.00,0.16,0.00","0.00,0.00,0.00","0.00,0.16,0.00"
