name,goals_per90,assists_per90,goals_assists_pens_per90
Ángel Rodríguez,"0.56,0.63,0.93","0.17,0.15,0.00","0.64,0.73,0.93"
Nemanja Maksimović,"0.03,0.05,0.00","0.03,0.00,0.00","0.05,0.05,0.00"
Arnau Tenas,,,
Santiago Ramos,,,
Mauro Arambarri,"0.03,0.03,0.00","0.06,0.03,0.00","0.09,0.05,0.00"
Damián Suárez,"0.00,0.03,0.00","0.07,0.12,0.00","0.07,0.15,0.00"
Rafinha,"['0.17', '0.00', None]","['0.08', '0.00', None]","['0.25', '0.00', None]"
Riqui Puig,"['0.00', '0.00', None]","['0.47', '0.31', None]","['0.47', '0.31', None]"
Iñaki,,,
Junior Firpo,"['0.12', '0.06', None]","['0.19', '0.06', None]","['0.31', '0.13', None]"
Konrad De La Fuente,,,
Martin Braithwaite,"['0.26', '0.22', None]","['0.04', '0.00', None]","['0.30', '0.22', None]"
Carles Aleñá,"['0.11', '0.00', None]","['0.11', '0.00', None]","['0.21', '0.00', None]"
Sergiño Dest,"0.00,0.00,0.00","0.18,0.00,0.00","0.18,0.00,0.00"
Ousmane Dembélé,"0.51,0.18,0.00","0.29,0.00,0.00","0.80,0.18,0.00"
Francisco Trincão,"0.00,0.43,0.00","0.00,0.38,0.00","0.00,0.81,0.00"
Pedri,,,
Miralem Pjanić,"0.11,0.08,0.00","0.22,0.16,0.00","0.28,0.24,0.00"
Ronald Araújo,"0.00,0.00,0.00","0.05,0.00,0.00","0.05,0.00,0.00"
Clément Lenglet,"0.05,0.11,0.00","0.00,0.03,0.00","0.05,0.13,0.00"
David Soria,,,
Antoine Griezmann,"0.47,0.39,0.00","0.24,0.10,0.00","0.64,0.49,0.00"
Ansu Fati,"0.52,1.35","0.07,0.00","0.59,1.35"
Philippe Coutinho,"0.30,0.46,0.42","0.13,0.38,0.84","0.38,0.80,1.26"
Allan Nyom,"0.05,0.06,0.00","0.05,0.03,0.25","0.10,0.09,0.25"
Marc Cucurella,"0.07,0.02,0.25","0.07,0.12,0.00","0.14,0.15,0.25"
Lionel Messi,"1.14,0.73,0.33","0.42,0.59,0.00","1.45,1.20,0.00"
Frenkie de Jong,"0.08,0.06,0.00","0.08,0.08,0.00","0.15,0.14,0.00"
Djené,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Asier Córdoba,,,
Xabier Etxeita,"0.13,0.00,0.00","0.00,0.00,0.00","0.13,0.00,0.00"
Marc Cardona,"0.34,0.20,0.00","0.23,0.31,0.00","0.57,0.51,0.00"
Neto,,,
Raúl Navas,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Sergio Busquets,"0.00,0.06,0.00","0.02,0.06,0.00","0.02,0.11,0.00"
Sergi Roberto,"0.03,0.03,0.33","0.20,0.06,0.00","0.22,0.09,0.33"
Jony,"0.12,0.00,0.00","0.33,0.16,0.00","0.45,0.16,0.00"
Enric Gallego,"0.00,0.31,0.00","0.00,0.00,0.00","0.00,0.31,0.00"
Jordi Alba,"0.06,0.06,0.00","0.30,0.22,0.35","0.36,0.29,0.35"
Kike Barja,"0.16,0.00,0.00","0.31,0.26,1.07","0.47,0.26,1.07"
Gerard Piqué,"0.13,0.02,0.00","0.04,0.00,0.00","0.17,0.02,0.00"
Unai García,"0.08,0.12,0.00","0.00,0.00,0.00","0.08,0.12,0.00"
Nacho Vidal,"0.00,0.00,0.00","0.16,0.00,0.00","0.16,0.00,0.00"
Aridane Hernández,"0.00,0.10,0.00","0.00,0.00,0.00","0.00,0.10,0.00"
Roberto Torres,"0.35,0.22,0.40","0.09,0.25,0.00","0.37,0.32,0.40"
Lucas Torró,"0.10,0.00,0.00","0.00,0.00,0.61","0.10,0.00,0.61"
Jonathan Calleri,"0.28,0.18,0.51","0.06,0.13,0.00","0.28,0.27,0.51"
Jon Moncayola,"[None, '0.05', '0.00']","[None, '0.00', '0.00']","[None, '0.05', '0.00']"
Facundo Roncaglia,"0.00,0.06,0.58","0.00,0.00,0.58","0.00,0.06,1.16"
Juan Cruz Armada,"0.00,0.03,0.00","0.03,0.24,0.00","0.03,0.27,0.00"
Unai Dufur,,,
Unai Arietaleanizbeaskoa,,,
Adrián López,"0.42,0.12,0.43","0.00,0.00,0.43","0.42,0.06,0.86"
Miguel Atienza,"[None, '0.00', '0.00']","[None, '0.00', '0.00']","[None, '0.00', '0.00']"
Eñaut Mendía,,,
Quique,"0.50,0.00,0.00","0.06,0.16,0.00","0.44,0.16,0.00"
Sergio Herrera,,,
Iñigo Pérez,"0.06,0.21,0.00","0.26,0.07,0.00","0.32,0.28,0.00"
José Antonio Martínez Gil,"['0.03', '0.00', None]","['0.03', '0.07', None]","['0.06', '0.07', None]"
Rubén García,"0.19,0.32,0.25","0.30,0.12,0.00","0.47,0.40,0.25"
Oier Sanjurjo,"0.08,0.08,0.00","0.00,0.04,0.26","0.08,0.12,0.26"
